run,frequency_hz,gain_db
1,54000.8627647191,-17.7850441997785
1,54207.76119633806,-17.76750121736344
1,54415.45233679195,-17.75934457055533
1,54623.93922325841,-17.73803376035773
1,54833.22490455175,-17.720418986457
1,55043.31244116743,-17.70571258511048
1,55254.20490532693,-17.68488782139901
1,55465.90538102255,-17.66630415081361
1,55678.41696406261,-17.64254175466136
1,55891.74276211668,-17.62657224482739
1,56105.88589476099,-17.60781579181947
1,56320.84949352413,-17.58854126789579
1,56536.6367019328,-17.57132026081839
1,56753.25067555775,-17.5530527920511
1,56970.69458205996,-17.52639334024085
1,57188.971601237,-17.50219716470107
1,57408.08492506946,-17.48897816780711
1,57628.03775776763,-17.46790741210542
1,57848.83331581843,-17.43852192427122
1,58070.47482803237,-17.42542222290977
1,58292.96553559081,-17.40587435348531
1,58516.30869209335,-17.37900408900005
1,58740.50756360537,-17.36004024092064
1,58965.56542870586,-17.33908196411691
1,59191.4855785353,-17.32001038910168
1,59418.27131684385,-17.2963804328659
1,59645.92596003961,-17.27300910532107
1,59874.45283723713,-17.25283776048845
1,60103.85529030611,-17.22704515823601
1,60334.13667392027,-17.2063103954643
1,60565.30035560638,-17.17496136029881
1,60797.34971579351,-17.15146635776371
1,61030.28814786252,-17.1288396580689
1,61264.11905819562,-17.1026414554065
1,61498.84586622616,-17.07469385080115
1,61734.47200448875,-17.05584365802402
1,61971.00091866934,-17.02704590472416
1,62208.43606765565,-17.00148637534787
1,62446.78092358776,-16.97836790188536
1,62686.03897190889,-16.94962912020718
1,62926.21371141631,-16.92160032743275
1,63167.30865431264,-16.8906631475011
1,63409.32732625703,-16.87518700449461
1,63652.27326641685,-16.84217181963734
1,63896.15002751942,-16.80800533409678
1,64140.9611759039,-16.78632523765921
1,64386.71029157354,-16.75711085278427
1,64633.40096824797,-16.73571589604028
1,64881.03681341575,-16.70675881677369
1,65129.62144838715,-16.67987914300615
1,65379.15850834709,-16.64375063917748
1,65629.65164240832,-16.60938661996296
1,65881.10451366476,-16.5794159002114
1,66133.52079924507,-16.5388969749524
1,66386.90419036643,-16.52055343790517
1,66641.25839238854,-16.48982945757311
1,66896.58712486776,-16.45201128498869
1,67152.8941216115,-16.41709999285087
1,67410.18313073293,-16.38963865751731
1,67668.45791470559,-16.35566612410644
1,67927.72225041865,-16.31123050410416
1,68187.97992923194,-16.29309099420269
1,68449.23475703147,-16.2550269123644
1,68711.49055428516,-16.21232664203037
1,68974.75115609857,-16.18718192010698
1,69239.02041227107,-16.15023666572022
